Jan 29, 2019 4:14:19 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/vagrant/apache-karaf-4.2.0-GQL/lock
Jan 29, 2019 4:14:19 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 29, 2019 4:14:19 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-01-29T16:14:20,985 | DEBUG | FelixStartLevel  | fileinstall                      | 9 - org.apache.felix.fileinstall - 3.6.4 | BundleEvent STARTED - org.apache.felix.fileinstall
2019-01-29T16:14:21,057 | DEBUG | FelixStartLevel  | core                             | 10 - org.apache.karaf.features.core - 4.2.0 | BundleEvent STARTING - org.apache.karaf.features.core
2019-01-29T16:14:21,131 | DEBUG | FelixStartLevel  | core                             | 10 - org.apache.karaf.features.core - 4.2.0 | BundleEvent STARTED - org.apache.karaf.features.core
2019-01-29T16:14:21,134 | DEBUG | FelixStartLevel  | util                             | 14 - org.apache.aries.util - 1.1.3 | BundleEvent STARTING - org.apache.aries.util
2019-01-29T16:14:21,134 | DEBUG | FelixStartLevel  | util                             | 14 - org.apache.aries.util - 1.1.3 | BundleEvent STARTED - org.apache.aries.util
2019-01-29T16:14:21,190 | DEBUG | FelixStartLevel  | kar                              | 18 - org.apache.karaf.deployer.kar - 4.2.0 | BundleEvent STARTING - org.apache.karaf.deployer.kar
2019-01-29T16:14:21,211 | DEBUG | FelixStartLevel  | kar                              | 18 - org.apache.karaf.deployer.kar - 4.2.0 | BundleEvent STARTED - org.apache.karaf.deployer.kar
2019-01-29T16:14:21,247 | DEBUG | FelixStartLevel  | wrap                             | 19 - org.apache.karaf.deployer.wrap - 4.2.0 | BundleEvent STARTING - org.apache.karaf.deployer.wrap
2019-01-29T16:14:21,271 | DEBUG | FelixStartLevel  | wrap                             | 19 - org.apache.karaf.deployer.wrap - 4.2.0 | ServiceEvent REGISTERED - [org.apache.felix.fileinstall.ArtifactUrlTransformer] - org.apache.karaf.deployer.wrap
2019-01-29T16:14:21,276 | DEBUG | FelixStartLevel  | wrap                             | 19 - org.apache.karaf.deployer.wrap - 4.2.0 | BundleEvent STARTED - org.apache.karaf.deployer.wrap
2019-01-29T16:14:21,282 | DEBUG | FelixStartLevel  | features                         | 17 - org.apache.karaf.deployer.features - 4.2.0 | BundleEvent STARTING - org.apache.karaf.deployer.features
2019-01-29T16:14:21,312 | DEBUG | FelixStartLevel  | features                         | 17 - org.apache.karaf.deployer.features - 4.2.0 | BundleEvent STARTED - org.apache.karaf.deployer.features
2019-01-29T16:14:21,313 | DEBUG | FelixStartLevel  | api                              | 11 - org.apache.aries.jmx.api - 1.1.5 | BundleEvent STARTING - org.apache.aries.jmx.api
2019-01-29T16:14:21,313 | DEBUG | FelixStartLevel  | api                              | 11 - org.apache.aries.jmx.api - 1.1.5 | BundleEvent STARTED - org.apache.aries.jmx.api
2019-01-29T16:14:21,319 | DEBUG | FelixStartLevel  | core                             | 12 - org.apache.aries.jmx.core - 1.1.8 | BundleEvent STARTING - org.apache.aries.jmx.core
2019-01-29T16:14:21,321 | DEBUG | FelixStartLevel  | core                             | 12 - org.apache.aries.jmx.core - 1.1.8 | ServiceEvent REGISTERED - [org.osgi.service.cm.ManagedService] - org.apache.aries.jmx.core
2019-01-29T16:14:21,322 | DEBUG | FelixStartLevel  | core                             | 12 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi bundle
2019-01-29T16:14:21,329 | INFO  | FelixStartLevel  | core                             | 12 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2019-01-29T16:14:21,409 | INFO  | FelixStartLevel  | core                             | 12 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=7a35856e-ea96-4e48-ae71-73ba8648a3b6] for service with service.id [15]
2019-01-29T16:14:21,425 | DEBUG | FelixStartLevel  | core                             | 12 - org.apache.aries.jmx.core - 1.1.8 | BundleEvent STARTED - org.apache.aries.jmx.core
2019-01-29T16:14:21,434 | DEBUG | FelixStartLevel  | whiteboard                       | 13 - org.apache.aries.jmx.whiteboard - 1.2.0 | BundleEvent STARTING - org.apache.aries.jmx.whiteboard
2019-01-29T16:14:21,436 | DEBUG | FelixStartLevel  | whiteboard                       | 13 - org.apache.aries.jmx.whiteboard - 1.2.0 | BundleEvent STARTED - org.apache.aries.jmx.whiteboard
2019-01-29T16:14:21,453 | DEBUG | FelixStartLevel  | core                             | 15 - org.apache.karaf.bundle.core - 4.2.0 | BundleEvent STARTING - org.apache.karaf.bundle.core
